META,inlet_choked,test
DATA,ts_ms,diaphragm_pct,piston_pct,mpx_pressure_hPa,bmp_temp_C,bmp_pressure_hPa,dht_temp_C,dht_humidity
DATA,1130,0,0,-10.43, 22.97,1000.27,NaN,NaN
DATA,2023,0,0,-15.86, 22.97,1000.28,NaN,NaN
DATA,3022,0,0,-15.86, 22.97,1000.26,NaN,NaN
DATA,4023,0,0,-15.86, 22.97,1000.30,NaN,NaN
DATA,5022,0,0,-15.86, 22.97,1000.26,NaN,NaN
DATA,6023,0,0,-15.86, 22.97,1000.27,NaN,NaN
DATA,7022,0,0,-15.86, 22.97,1000.25,NaN,NaN
DATA,8023,0,0,-15.86, 22.97,1000.27,NaN,NaN
DATA,9023,0,0,-15.86, 22.97,1000.30,NaN,NaN
DATA,10022,0,0,-15.86, 22.98,1000.29,NaN,NaN
DATA,11023,0,0,-15.86, 22.98,1000.28,NaN,NaN
DATA,12022,0,0,-15.86, 22.98,1000.25,NaN,NaN
DATA,13023,0,0,-15.86, 22.98,1000.24,NaN,NaN
DATA,14022,0,0,-15.86, 22.97,1000.29,NaN,NaN
DATA,15023,0,0,-15.86, 22.98,1000.23,NaN,NaN
DATA,16022,0,0,-15.86, 22.98,1000.25,NaN,NaN
DATA,17022,0,0,-15.86, 22.98,1000.31,NaN,NaN
DATA,18023,0,0,-15.86, 22.98,1000.25,NaN,NaN
DATA,19022,0,0,-15.86, 22.98,1000.26,NaN,NaN
DATA,20023,0,0,-15.86, 22.98,1000.29,NaN,NaN
DATA,21022,0,0,-15.86, 22.98,1000.23,NaN,NaN
DATA,22023,0,0,-10.43, 22.99,1000.24,NaN,NaN
DATA,23022,0,0,-15.86, 22.99,1000.24,NaN,NaN
DATA,24023,0,0,-15.86, 22.99,1000.28,NaN,NaN
DATA,25023,0,0,-10.43, 22.99,1000.28,NaN,NaN
DATA,26022,0,0,-15.86, 22.99,1000.29,NaN,NaN
DATA,27023,0,0,-15.86, 23.00,1000.26,NaN,NaN
DATA,28022,0,0,-10.43, 23.00,1000.29,NaN,NaN
DATA,29023,0,0,-15.86, 23.00,1000.24,NaN,NaN
DATA,30022,0,0,-15.86, 23.00,1000.22,NaN,NaN
DATA,31023,0,0,-15.86, 23.00,1000.24,NaN,NaN
DATA,32022,0,0,-15.86, 23.00,1000.26,NaN,NaN
DATA,33022,0,0,-15.86, 23.00,1000.26,NaN,NaN
DATA,34023,0,0,-15.86, 23.01,1000.23,NaN,NaN
DATA,35022,0,0,-15.86, 23.01,1000.29,NaN,NaN
DATA,36023,0,0,-15.86, 23.01,1000.26,NaN,NaN
DATA,37022,0,0,-15.86, 23.01,1000.26,NaN,NaN
DATA,38023,0,0,-15.86, 23.00,1000.23,NaN,NaN
DATA,39022,0,0,-15.86, 23.01,1000.28,NaN,NaN
DATA,40023,0,0,-15.86, 23.01,1000.27,NaN,NaN
DATA,41023,0,0,-15.86, 23.01,1000.25,NaN,NaN
DATA,42022,0,0,-15.86, 23.01,1000.26,NaN,NaN
DATA,43023,0,0,-15.86, 23.01,1000.28,NaN,NaN
DATA,44022,0,0,-15.86, 23.01,1000.24,NaN,NaN
DATA,45023,0,0,-15.86, 23.02,1000.25,NaN,NaN
DATA,46022,0,0,-15.86, 23.01,1000.28,NaN,NaN
DATA,47023,0,0,-15.86, 23.02,1000.26,NaN,NaN
DATA,48022,0,0,-15.86, 23.02,1000.26,NaN,NaN
DATA,49022,0,0,-15.86, 23.02,1000.28,NaN,NaN
DATA,50023,0,0,-15.86, 23.02,1000.26,NaN,NaN
DATA,51022,0,0,-15.86, 23.02,1000.26,NaN,NaN
DATA,52023,0,0,-15.86, 23.02,1000.28,NaN,NaN
DATA,53022,0,0,-15.86, 23.02,1000.26,NaN,NaN
DATA,54023,0,0,-15.86, 23.03,1000.27,NaN,NaN
DATA,55022,0,0,-15.86, 23.02,1000.26,NaN,NaN
DATA,56023,0,0,-15.86, 23.03,1000.26,NaN,NaN
DATA,57023,0,0,-15.86, 23.02,1000.24,NaN,NaN
DATA,58022,0,0,-10.43, 23.03,1000.27,NaN,NaN
DATA,59023,0,0,-15.86, 23.03,1000.28,NaN,NaN
DATA,60022,0,0,-15.86, 23.03,1000.26,NaN,NaN
DATA,61023,0,0,-15.86, 23.03,1000.26,NaN,NaN
DATA,62022,0,0,-10.43, 23.02,1000.27,NaN,NaN
